school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова»,Северный административный округ,район Сокол,16,28,38
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»,Северный административный округ,Тимирязевский район,60,87,104
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 597 «Новое поколение»,Северный административный округ,район Ховрино,24,41,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1955»,Северо-Восточный административный округ,Лосиноостровский район,37,82,134
Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1537 «Информационные технологии»,Северо-Восточный административный округ,Ярославский район,73,107,129
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1944»,Северо-Западный административный округ,район Митино,60,87,127
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1155»,Северо-Западный административный округ,район Строгино,5,26,39
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 86 имени М.Е. Катукова»,Северо-Западный административный округ,район Строгино,18,40,47
Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Феникс»,Северо-Западный административный округ,район Строгино,2,2,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2083»,Новомосковский административный округ,поселение Рязановское,33,103,167
Некоммерческое негосударственное образовательное учреждение «Троицкая Православная школа»,Троицкий административный округ,поселение Троицк,6,9,22
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1429 имени Героя Советского Союза Н.А. Боброва»,Центральный административный округ,Басманный район,7,20,15
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1158»,Южный административный округ,район Чертаново Северное,75,132,203
Частное учреждение общеобразовательная организация средняя общеобразовательная школа «Эрудит-2»,Юго-Восточный административный округ,район Люблино,3,3,7
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1524»,Юго-Восточный административный округ,район Печатники,49,84,101
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 773 «Печатники»,Юго-Восточный административный округ,район Печатники,16,40,50
