school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1563»,Восточный административный округ,район Северное Измайлово,51,77,100
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1748 «Вертикаль»,Восточный административный округ,район Северное Измайлово,38,76,100
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1362»,Восточный административный округ,район Соколиная Гора,13,30,70
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1947»,Восточный административный округ,район Соколиная Гора,14,36,30
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1404 «Гамма»,Восточный административный округ,район Сокольники,28,66,58
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1371 «Крылатское»,Западный административный округ,район Крылатское,20,46,70
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 64»,Западный административный округ,район Кунцево,24,43,52
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1376»,Западный административный округ,район Ново-Переделкино,20,31,75
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»,Западный административный округ,район Раменки,50,80,90
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1436»,Западный административный округ,район Солнцево,12,23,38
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»,Западный административный округ,район Тропарёво-Никулино,36,94,81
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 97»,Западный административный округ,район Фили-Давыдково,20,53,88
Частное образовательное учреждение средняя общеобразовательная школа «Ломоносовская школа»,Западный административный округ,район Фили-Давыдково,17,24,49
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени дважды Героя Советского Союза К.К. Рокоссовского»,Зеленоградский административный округ,район Крюково,36,76,92
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1583 имени К. А. Керимова»,Северный административный округ,Головинский район,39,80,107
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1249»,Северный административный округ,район Сокол,34,49,39
Государственное автономное общеобразовательное учреждение города Москвы «Школа «ШИК 16»,Северо-Восточный административный округ,Останкинский район,13,20,43
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1564 имени Героя Советского Союза А.П. Белобородова»,Северо-Западный административный округ,район Митино,85,125,181
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1571»,Северо-Западный административный округ,район Северное Тушино,103,181,232
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1619 имени М.И. Цветаевой»,Северо-Западный административный округ,район Строгино,48,97,154
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1302»,Северо-Западный административный округ,район Строгино,19,33,67
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2057»,Новомосковский административный округ,поселение Кокошкино,6,23,51
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1297»,Центральный административный округ,Мещанский район,29,54,54
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 179»,Центральный административный округ,Тверской район,82,87,122
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1598»,Восточный административный округ,район Гольяново,46,124,179
Государственное бюджетное общеобразовательное учреждение города Москвы «Измайловская школа № 1508»,Восточный административный округ,район Восточное Измайлово,56,94,121
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 444»,Восточный административный округ,район Восточное Измайлово,74,101,107
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1130»,Западный административный округ,район Крылатское,29,67,64
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»,Западный административный округ,район Крылатское,15,34,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»,Западный административный округ,район Крылатское,7,13,16
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 63»,Западный административный округ,район Крылатское,18,34,54
Частное учреждение общеобразовательная организация «Медико-биологическая школа «Вита»,Западный административный округ,район Крылатское,5,7,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»,Западный административный округ,Можайский район,36,86,126
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2025»,Западный административный округ,район Очаково-Матвеевское,37,88,150
Частное учреждение общеобразовательная организация школа «Ступени»,Западный административный округ,район Очаково-Матвеевское,3,3,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Центр спорта и образования «Олимп» Департамента спорта и туризма города Москвы,Западный административный округ,район Проспект Вернадского,2,10,19
Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская школа № 1448»,Западный административный округ,район Раменки,43,65,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа на проспекте Вернадского»,Западный административный округ,район Тропарёво-Никулино,44,58,76
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»,Западный административный округ,район Фили-Давыдково,11,28,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1248»,Западный административный округ,район Фили-Давыдково,28,53,61
Некоммерческое партнерство «Международная школа «Глобус»,Зеленоградский административный округ,район Матушкино,2,8,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1528» имени Героя Советского Союза И.В. Панфилова,Зеленоградский административный округ,район Старое Крюково,48,110,127
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»,Северный административный округ,Войковский район,23,36,45
Государственное бюджетное общеобразовательное учреждение города Москвы Реабилитационно-образовательный центр № 76 Департамента труда и социальной защиты населения города Москвы,Северный административный округ,Головинский район,6,15,28
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 236 имени Героя Советского Союза Г. И. Щедрина»,Северный административный округ,Дмитровский район,22,66,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Перспектива»,Северный административный округ,Молжаниновский район,18,40,74
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технический пожарно-спасательный колледж имени Героя Российской Федерации В.М. Максимчука»,Северный административный округ,район Сокол,0,13,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 293 имени А.Т. Твардовского»,Северо-Восточный административный округ,Алексеевский район,29,59,83
Частное общеобразовательное учреждение «Лицей «Надежда»,Северо-Восточный административный округ,район Бибирево,2,3,3
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1573»,Северо-Восточный административный округ,район Лианозово,55,108,129
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 950»,Северо-Восточный административный округ,район Отрадное,21,80,102
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 89 имени А.П. Маресьева»,Северо-Западный административный округ,район Строгино,15,43,34
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1391»,Троицкий административный округ,поселение Киевский,10,42,110
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2065»,Новомосковский административный округ,поселение Московский,17,54,132
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1788»,Новомосковский административный округ,поселение Внуковское,22,52,72
Общеобразовательное частное учреждение «Первая Московская гимназия»,Центральный административный округ,район Арбат,11,12,14
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1950»,Центральный административный округ,Пресненский район,68,105,109
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1574»,Центральный административный округ,Тверской район,96,157,187
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1799»,Центральный административный округ,район Якиманка,180,269,245
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1420»,Юго-Восточный административный округ,район Выхино-Жулебино,56,125,155
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1908»,Юго-Восточный административный округ,район Выхино-Жулебино,19,46,43
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 641 имени Сергея Есенина»,Юго-Восточный административный округ,район Кузьминки,46,87,166
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1228 «Лефортово»,Юго-Восточный административный округ,район Лефортово,48,105,168
"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж Архитектуры, Дизайна и Реинжиниринга № 26»",Юго-Восточный административный округ,район Люблино,1,6,16
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Марьино» имени маршала авиации А.Е. Голованова»,Юго-Восточный административный округ,район Марьино,7,36,83
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 439 «Интеллект»,Юго-Восточный административный округ,Нижегородский район,4,21,32
Частное учреждение «Общеобразовательная организация Учебный центр «Наука-Сервис»,Юго-Восточный административный округ,Южнопортовый район,0,0,1
Автономная некоммерческая общеобразовательная организация «Школа при Андреевском монастыре»,Юго-Западный административный округ,Гагаринский район,2,3,9
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Воробьевы горы»,Юго-Западный административный округ,Гагаринский район,47,98,89
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2042 имени Лазаревых»,Юго-Западный административный округ,район Зюзино,10,23,28
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 536»,Юго-Западный административный округ,район Зюзино,16,32,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»,Юго-Западный административный округ,район Зюзино,8,35,39
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 117»,Юго-Западный административный округ,Ломоносовский район,84,127,180
Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Москвич»,Юго-Западный административный округ,Ломоносовский район,3,4,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1561»,Юго-Западный административный округ,район Ясенево,60,143,132
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1998 «Лукоморье»,Южный административный округ,район Братеево,10,24,24
Частное учреждение общеобразовательная организация Международная школа завтрашнего дня,Южный административный округ,район Чертаново Северное,7,23,40
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 504»,Южный административный округ,район Чертаново Южное,18,43,91
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 338 имени Героя Советского Союза А.Ф. Авдеева»,Юго-Восточный административный округ,район Люблино,3,13,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,Юго-Восточный административный округ,район Некрасовка,36,95,135
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1533 «ЛИТ»,Юго-Западный административный округ,Гагаринский район,104,115,153
Общеобразовательная автономная некоммерческая организация школа «Путь зерна»,Юго-Западный административный округ,район Коньково,4,7,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 7»,Юго-Западный административный округ,Ломоносовский район,38,67,96
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 121»,Юго-Западный административный округ,Обручевский район,14,50,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1356»,Юго-Западный административный округ,район Северное Бутово,15,22,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2115»,Юго-Западный административный округ,район Черёмушки,17,52,70
Некоммерческое общеобразовательное частное учреждение «Британская международная школа»,Юго-Западный административный округ,район Черёмушки,4,5,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 867»,Южный административный округ,район Братеево,25,68,91
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 438»,Южный административный округ,район Орехово-Борисово Северное,1,16,15
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1520 имени Капцовых»,Центральный административный округ,Пресненский район,82,107,121
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 480 им. В.В.Талалихина»,Центральный административный округ,Таганский район,9,31,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1540»,Центральный административный округ,Тверской район,24,60,48
Частное образовательное учреждение «Елизаветинская гимназия»,Центральный административный округ,район Якиманка,4,9,12
Частное учреждение общеобразовательная организация «Татьянинская школа»,Юго-Восточный административный округ,Нижегородский район,6,9,22
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс «Юго-Запад»,Юго-Западный административный округ,Гагаринский район,7,21,30
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»,Юго-Западный административный округ,район Коньково,42,106,126
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1536»,Юго-Западный административный округ,Ломоносовский район,44,75,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2114»,Юго-Западный административный округ,район Северное Бутово,44,115,151
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1205»,Юго-Западный административный округ,район Черёмушки,32,61,87
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1883 «Бутово»,Юго-Западный административный округ,район Южное Бутово,35,82,96
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1257»,Южный административный округ,Даниловский район,28,50,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1272»,Южный административный округ,Даниловский район,19,40,78
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»,Южный административный округ,район Зябликово,40,89,127
Частное учреждение «Средняя общеобразовательная школа «Эрудит»,Южный административный округ,район Нагатино-Садовники,1,3,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1527»,Южный административный округ,район Нагатинский Затон,32,48,69
Автономная некоммерческая организация общеобразовательная Частная школа «Премьер»,Южный административный округ,район Орехово-Борисово Северное,4,7,6
Государственное автономное общеобразовательное учреждение города Москвы «Школа № 548 «Царицыно»,Южный административный округ,район Орехово-Борисово Южное,127,212,276
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1623»,Южный административный округ,район Чертаново Северное,11,32,59
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2113»,Южный административный округ,район Чертаново Южное,4,20,50
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 657»,Южный административный округ,район Чертаново Южное,11,30,37
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 491 «Марьино»,Юго-Восточный административный округ,район Марьино,17,63,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа имени Артема Боровика»,Юго-Восточный административный округ,район Марьино,62,88,125
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1366»,Юго-Восточный административный округ,район Некрасовка,16,25,62
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»,Юго-Восточный административный округ,Нижегородский район,22,39,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1514»,Юго-Западный административный округ,Ломоносовский район,103,147,237
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1034 имени Героя Советского Союза В.В. Маркина»,Южный административный округ,район Братеево,36,80,161
Общеобразовательная автономная некоммерческая организация гимназия «Эллада» во имя Святых Кирилла и Мефодия,Южный административный округ,район Москворечье-Сабурово,3,4,9
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 978»,Южный административный округ,район Нагатино-Садовники,10,29,45
Общеобразовательное частное учреждение «Русская школа»,Южный административный округ,район Орехово-Борисово Северное,2,3,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 879»,Южный административный округ,район Чертаново Центральное,16,42,49
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1234»,Центральный административный округ,район Арбат,87,141,156
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1621 Древо Жизни»,Центральный административный округ,Басманный район,6,17,17
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 627 имени генерала Д.Д. Лелюшенко»,Центральный административный округ,район Замоскворечье,86,136,145
Автономная некоммерческая организация «Общеобразовательная Православная школа искусств»,Центральный административный округ,Мещанский район,4,11,8
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1529 имени А.С. Грибоедова»,Центральный административный округ,район Хамовники,78,104,86
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Кузьминки»,Юго-Восточный административный округ,район Кузьминки,15,37,49
Частное учреждение средняя общеобразовательная школа «Апогей»,Юго-Восточный административный округ,район Люблино,1,2,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1423»,Юго-Восточный административный округ,район Марьино,18,45,40
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 625»,Юго-Западный административный округ,Академический район,37,67,94
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 113»,Юго-Западный административный округ,район Коньково,23,59,90
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1311»,Юго-Западный административный округ,Обручевский район,13,30,45
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1532»,Юго-Западный административный округ,район Тёплый Стан,37,99,135
Негосударственное частное учреждение общеобразовательная организация «Средняя общеобразовательная школа «Промо-М»,Юго-Западный административный округ,район Тёплый Стан,7,11,9
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 868»,Южный административный округ,район Царицыно,8,23,29
Автономная некоммерческая организация средняя общеобразовательная школа «Учебный центр «Перспектива»,Южный административный округ,район Чертаново Северное,2,11,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 354 имени Д.М. Карбышева»,Центральный административный округ,Басманный район,47,91,100
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 315»,Центральный административный округ,Красносельский район,51,72,56
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа в Капотне»,Юго-Восточный административный округ,район Капотня,23,70,107
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа на Юго-Востоке имени Маршала В.И. Чуйкова»,Юго-Восточный административный округ,район Кузьминки,130,193,215
Государственное бюджетное общеобразовательное учреждение города Москвы «Марьинская школа № 1566 памяти Героев Сталинградской битвы»,Юго-Восточный административный округ,район Марьино,64,135,162
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1421»,Юго-Восточный административный округ,Рязанский район,19,47,43
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 329 имени Героя Советского Союза А.С. Хлобыстова»,Юго-Восточный административный округ,Рязанский район,18,49,64
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1273»,Юго-Западный административный округ,район Коньково,45,78,129
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 49»,Юго-Западный административный округ,район Коньково,33,84,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1507»,Юго-Западный административный округ,район Тёплый Стан,42,73,141
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2109»,Юго-Западный административный округ,район Южное Бутово,53,113,208
Частное учреждение средняя общеобразовательная школа «Данко»,Юго-Западный административный округ,район Южное Бутово,0,1,2
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 935»,Южный административный округ,район Бирюлёво Восточное,19,47,53
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1929»,Южный административный округ,район Братеево,8,22,48
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1553 имени В.И. Вернадского»,Южный административный округ,Даниловский район,58,81,87
Частное учреждение средняя общеобразовательная школа «Столичный - КИТ»,Южный административный округ,Даниловский район,3,25,1
Общеобразовательное частное учреждение средняя общеобразовательная школа «Классика»,Южный административный округ,район Зябликово,5,7,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 982 имени маршала бронетанковых войск П.П. Полубоярова»,Южный административный округ,район Москворечье-Сабурово,15,38,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 463 имени Героя Советского Союза Д.Н.Медведева»,Южный административный округ,район Нагатинский Затон,15,48,72
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 937 имени Героя Российской Федерации А.В. Перова»,Южный административный округ,район Орехово-Борисово Северное,14,39,73
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 870»,Южный административный округ,район Царицыно,19,44,37
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 880»,Южный административный округ,район Чертаново Центральное,7,24,52
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2092 имени И.Н.Кожедуба»,Юго-Восточный административный округ,район Люблино,14,36,62
